id,name,latitude,longitude
30538,Suffern Service Plaza,41.153368,-74.189727
30539,Georgia Rest Area,44.755378,-73.078446
30540,Williston Rest Area,44.434736,-73.078519
30541,Randolph Rest Area,43.983086,-72.629118
30542,Lebanon Welcome Center,43.64879,-72.261202
30543,Sutton Rest Area,43.339409,-71.910646
30544,Derby Welcome Center,44.995335,-72.102947
30545,Lyndonville Rest Area,44.565445,-72.033976
30546,Hartford Welcome Center,43.621288,-72.348191
30547,Wallingford Rest Area,41.4603,-72.7801
30548,Sanbornton Rest Area,43.49154,-71.598484
30549,Hooksett Service Plaza,43.109146,-71.477188
30550,Medway Rest Area,45.597419,-68.537103
30551,Hampden Welcome Center,44.7675,-68.8865
30552,Cumberland Center Service Plaza,43.817615,-70.319724
30553,Kennebunk Service Plaza,43.409909,-70.560684
30554,Salisbury Welcome Center,42.879592,-70.884331
30555,Newton Service Plaza,42.33035,-71.254582
30556,Westwood Rest Area,42.217499,-71.158397
