id,name,parking,reserved,fee,latitude,longitude
12927,hart hart express mobil,0,False,False,43.688814,-86.385188
12928,hastings marathon,100,False,False,42.524499,-85.253525
12929,hermansville wildwood truck stop,15,False,False,45.714298,-87.600241
12930,holland loves travel stop,0,False,False,42.782682,-86.023264
12931,holland pilot travel center,0,False,False,42.74033,-86.066318
12932,holland speedway,0,False,False,42.739766,-86.068814
12933,holland tulip city truck stop,11,False,False,42.738029,-86.066765
12934,holly alexs market and grill,1,False,False,42.815422,-83.572834
12935,holly east holly truck stop,50,False,False,42.782332,-83.533118
12936,howard city m-46 auto / truck plaza,0,False,False,43.425466,-85.474464
12937,howard city m-46 bp,5,False,False,43.425621,-85.487451
12938,hudsonville mobil,10,False,False,42.844648,-85.861266
12939,imlay city speedway,3,False,False,43.007258,-83.072142
12940,imlay city spencer amoco,10,False,False,43.006302,-83.070309
12941,ionia pilot travel center,75,False,False,42.883118,-85.074874
12942,jackson 145 autotruck plaza,0,False,False,42.277558,-84.308701
12943,kalamazoo avenue fuel plaza,5,False,False,42.376413,-85.651234
12944,kalamazoo raceway citgo,30,False,False,42.376593,-85.659252
12945,kimball speedy q,170,False,False,42.984417,-82.538266
12946,kinross tone road travel and convenience,10,False,False,46.273462,-84.506245
12947,lake odessa speedway,50,False,False,42.755892,-85.075092
12948,lansing speedway,10,False,False,42.682232,-84.512246
12949,lapeer cms fueling center,10,False,False,43.035025,-83.361596
12950,lennon speedway superamerica,10,False,False,42.983424,-83.928669
12951,lincoln park quick fuel-lincoln park #1704,100,False,False,42.265281,-83.174663
12952,livonia quick fuel-livonia #1702,20,False,False,42.378019,-83.403374
12953,lowell mobil,0,False,False,42.883512,-85.371752
12954,luna pier sphinx luna pier synergy petroleum,5,False,False,41.809244,-83.446999
12955,luna pier synergy petroleum,65,False,False,41.809536,-83.446961
12956,mackinaw city citgo station,25,False,False,45.766848,-84.731884
12957,macomb sunoco,15,False,False,42.805629,-82.96301
12958,manistique bp,10,False,False,45.950417,-86.258158
12959,manistique krist,0,False,False,45.950941,-86.241721
12960,marlette clark,20,False,False,43.330157,-83.079836
12961,marlette hilltop truck stop,20,False,False,43.306739,-83.078398
12962,marlette scotts quik stop,100,False,True,43.415288,-83.087786
12963,marquette cenex,0,False,False,46.549604,-87.4566
12964,marshall brewer park p.s. food mart,0,False,False,42.292143,-84.963852
12965,marshall loves travel stop,4,False,False,42.280206,-84.93073
12966,marshall pioneer auto truck stop,50,False,False,42.296455,-84.9646
12967,marshall the 1 1 5 truck stop,50,False,False,42.284579,-84.863569
12968,marysville express foods depot,70,True,False,42.908619,-82.500356
12969,mattawan speedway,20,False,False,42.224014,-85.785777
12970,memphis sunrise marathon,5,False,False,42.976677,-82.763206
12971,monroe pilot travel center,5,False,False,41.92444,-83.369504
12972,monroe pilot travel center,5,False,False,41.964189,-83.353819
12973,monroe ta travel center,155,True,False,41.92670059,-83.36319733
12974,mount clemens bp,20,False,False,42.59354,-82.860485
12975,mount clemens n river mobil,3,False,False,42.593218,-82.859566
12976,mount morris beacon and bridge market,25,False,False,43.118366,-83.761345
12977,mount morris bp truck stop,25,False,False,43.119397,-83.765966
12978,mount pleasant blodgett oil,3,False,False,43.611525,-84.736936
12979,munising citgo quick food mart,85,True,False,46.404024,-86.648818
12980,new baltimore speedway truck stop,13,False,False,42.674914,-82.815139
12981,new boston chapps landing,0,False,False,42.136207,-83.386627
12982,new boston chapps landing,25,False,False,42.136868,-83.400865
12983,new haven new haven sunoco,3,False,False,42.734349,-82.785158
12984,newberry pickelmans total 1 stop,20,False,False,46.303548,-85.511237
12985,newport fifth wheel truck stop and rest,0,False,False,42.001091,-83.358365
12986,newport frenchtown mini mart,3,False,False,42.00306,-83.357023
12987,newport newport truck plaza,20,False,False,42.007437,-83.316864
12988,niles jds truck stop,0,False,False,41.805415,-86.321382
12989,north branch m and n market,0,False,False,43.203142,-83.313059
12990,norton shores speedway,20,False,False,43.132731,-86.22024
12991,ontonagon m 64 truck stop,10,False,False,46.864391,-89.332635
12992,ottawa lake big daddys truck stop,15,False,False,41.797999,-83.688311
12993,ottawa lake pilot travel center,3,False,False,41.797856,-83.692925
12994,parma parma sunoco,4,False,False,42.267845,-84.601013
12995,parma parma travel center,2,False,False,42.266464,-84.62363
12996,paw paw lawsons m 51 service,3,False,False,42.196941,-85.966056
12997,paw paw paw paw truck stop,225,False,True,43.176343,-84.704772
12998,secure parking spaces,0,False,True,42.19782,-85.966891
12999,perry glitzy ritz auto-truck plaza,25,False,False,42.835605,-84.22089
13000,pinconning pinconning express stop,15,False,False,43.853113,-84.024285
13001,plainwell admiral petroleum,70,False,False,42.449715,-85.658037
13002,port huron by-lo speedy q,305,True,False,42.989015,-82.448605
13003,port huron pilot travel center,15,False,False,42.976992,-82.54299
13004,portland speedway truck stop,100,False,False,42.861558,-84.886722
13005,rapid river pantry restaurant and truck stop,0,False,False,45.925323,-86.981864
13006,rapid river rapid river mini mart,35,False,False,45.92799,-86.974436
13007,redford synergy petroleum,20,False,False,42.371766,-83.276351
13008,reed city northwind travel center,25,False,False,43.888908,-85.523597
13009,riley i-69 truck stop,10,False,False,42.98589,-82.764903
13010,romulus madco truck plaza,0,False,False,42.253971,-83.308545
13011,romulus quick fuel-romulus #1703,25,False,False,42.233365,-83.318802
13012,romulus van born diesel,0,False,False,42.26743,-83.329354
13013,roseville groesbeck marathon,10,False,False,42.506571,-82.95966
13014,saginaw flying j travel plaza,12,False,False,43.45139,-83.8944
13015,saginaw m-81 express stop,25,False,False,43.449406,-83.887664
13016,saginaw ta travel center,10,False,False,43.35169983,-83.8690033
13017,saint clair mobil truck stop,100,False,False,42.860406,-82.556118
13018,sault ste marie admiral,40,False,False,46.462417,-84.374056
13019,sault ste marie holiday station,150,False,False,46.493724,-84.372296
13020,sawyer dunes autotruck plaza,1,False,False,41.885573,-86.604312
13021,sawyer ta travel center,5,False,False,41.8844986,-86.60009766
13022,smiths creek by-lo speedy q,0,False,False,42.983899,-82.538341
13023,smiths creek sunrise store,25,False,False,42.986732,-82.537499
13024,south haven m-140 value market,10,False,False,42.367771,-86.26807
13025,st ignace st ignace truck stop,25,False,False,45.856477,-84.736885
13026,tekonsha snappy food mart bp,0,False,False,42.105788,-84.992281
13027,tekonsha ta travel center,10,False,False,42.105926,-84.989435
13028,traverse city chums corner shell,10,False,False,44.672917,-85.656677
13029,traverse city town hall shell,10,False,False,44.722787,-85.64498
13030,vassar half way truck stop,0,False,False,43.377137,-83.602938
13031,warren mound truck stop(bp),0,False,False,42.497442,-83.046025
13032,warren quick fuel-warren ii #1701,25,False,False,42.47063,-83.046611
13033,warren valero,50,False,False,42.463595,-82.991788
13034,watersmeet nordines bp,100,False,False,46.289045,-89.178043
13035,wayland dorr truck stop,70,False,False,42.724801,-85.676409
13036,wayland mobil,3,False,False,42.628956,-85.65551
13037,wayland speedway,3,False,False,42.674453,-85.65774
13038,webberville nadas mobil,0,False,False,42.661618,-84.196826
13039,wellston corner express,0,False,False,44.222462,-85.805717
13040,west branch jaxx snaxx west branch,7,False,False,44.242278,-84.224978
13041,white pigeon sb1313 truckstop,43,False,False,41.798891,-85.739729
13042,whitehall mccormick,15,False,False,43.383408,-86.2873
13043,whitmore lake south east sunoco,5,False,False,42.378844,-83.755039
13044,whitmore lake speedway truck stop,50,False,False,42.393307,-83.761149
13045,woodhaven detroiter travel center,32,False,False,42.13738,-83.23989
13046,wyoming the pit stop,15,False,False,42.931703,-85.721711
13047,ypsilanti doaba truck stop,5,False,False,42.241153,-83.612878
13048,adrian kum and go,10,False,False,43.640532,-95.933543
13049,albert lea loves travel stop,10,False,False,43.6598,-93.31592
13050,albert lea petro center,5,False,False,43.65769958,-93.31569672
13051,alden freeborn county co-op bp,0,False,False,43.664216,-93.57838
13052,alexandria pilot travel center,80,False,False,45.86065,-95.42301
13053,amboy caseys,2,False,False,43.887435,-94.168164
13054,austin kwik trip,5,False,False,43.676672,-92.955442
